"x","y","z","w","partid"
-1.7642,-2.43432,-9.5,1,200
-1.55382,-3.13639,-9.5,1,200
-1.986,-2.88242,-9.5,1,200
2.877,-0.86647,-9.5,1,200
3.3251,-1.08827,-9.5,1,200
3.29284,-1.18232,-9.5,1,200
2.4334,-1.76267,-9.5,1,200
3.07371,-1.6713,-9.5,1,200
2.8815,-1.98447,-9.5,1,200
1.08735,3.32663,-10,1,200
0.79583,3.40826,-10,1,200
-3.32755,1.08888,-10,1,200
-3.37615,0.92731,-10,1,200
-1.0898,-3.32602,-10,1,200
-1.05681,-3.33664,-10,1,200
3.3251,-1.08827,-10,1,200
3.43476,-0.66563,-10,1,200
2.22524,2.70073,-10,1,200
1.98355,2.88303,-10,1,200
3.43162,-0.66513,6.25,1,200
3.42063,-0.73477,6.25,1,200
3.319,-1.10674,6.25,1,200
3.28959,-1.18104,6.25,1,200
3.17707,-1.46527,6.25,1,200
2.78229,-2.12095,6.25,1,200
2.99655,-1.80602,6.25,1,200
3.06919,-1.66891,6.25,1,200
-1.72426,-3.0461,6.25,1,200
-2.01332,-2.86088,6.25,1,200
-2.61439,2.32857,-10,1,200
-2.88395,1.98508,-10,1,200
-2.89494,1.96903,6.25,1,200
-2.93618,1.90059,6.25,1,200
-3.09395,1.63875,6.25,1,200
-3.19045,1.42948,6.25,1,200
0.79552,3.40663,6.25,1,200
0.82786,3.40061,6.25,1,200
1.19689,3.28877,6.25,1,200
1.88702,2.94717,6.25,1,200
1.78471,3.00503,6.25,1,200
1.55138,3.13701,6.25,1,200
1.30494,3.24251,6.25,1,200
-1.55147,-3.13163,6.25,1,200
-1.37867,-3.21716,6.25,1,200
-1.0561,-3.33468,6.25,1,200
-1.01636,-3.34916,6.25,1,200
-0.53506,-3.45866,-10,1,200
-0.64173,-3.44051,6.25,1,200
-8e-04,-3.49962,-10,1,200
-0.25933,-3.49009,6.25,1,200
-0.53451,-3.45441,6.25,1,200
0.5102,-3.46205,6.25,1,200
0.12621,-3.4973,6.25,1,200
-0.00071,-3.49492,6.25,1,200
0.53322,-3.45734,6.25,1,200
0.53346,-3.45853,-10,1,200
0.88798,-3.38477,6.25,1,200
1.05518,-3.33638,-10,1,200
1.05357,-3.33137,6.25,1,200
1.25497,-3.26641,6.25,1,200
1.55215,-3.13601,-10,1,200
1.55098,-3.13343,6.25,1,200
1.60671,-3.10839,6.25,1,200
